prompt,Your Model_output,Your Model_bleu,Your Model_rouge_l,Your Model_bertscore,Your Model_distinct_1,Your Model_distinct_2,Your Model_repetition_rate,Your Model_coherence,Your Model_length,GPT2 (中文)_output,GPT2 (中文)_bleu,GPT2 (中文)_rouge_l,GPT2 (中文)_bertscore,GPT2 (中文)_distinct_1,GPT2 (中文)_distinct_2,GPT2 (中文)_repetition_rate,GPT2 (中文)_coherence,GPT2 (中文)_length,Dialogue GPT2 (中文)_output,Dialogue GPT2 (中文)_bleu,Dialogue GPT2 (中文)_rouge_l,Dialogue GPT2 (中文)_bertscore,Dialogue GPT2 (中文)_distinct_1,Dialogue GPT2 (中文)_distinct_2,Dialogue GPT2 (中文)_repetition_rate,Dialogue GPT2 (中文)_coherence,Dialogue GPT2 (中文)_length
关键词: 信 天涯 晚风,",青春,爱护你情话语千金莲花花/谁是谁一万年代表明媚心态度飞呀海浪,爱情,笑容都市蜃楼台下辈子爱要珍惜就叫人舞龙腾/红玫瑰朵花园之光辉照着歌颂他乡亲相爱共享春秋来世俗/我愿做梦幻想你爱生命中花谢花开代价值不枉费雨声/如同志愿见证年永伴随传媒约会更改革命的缘一起去看清天/endeall soraine amoney mupt cofi djiss you gokhing the bnghadre my away a can's he wqir i'ser meare my baby love you floo fackeon va night",0.0,0,1.0,0.9230769230769231,1.0,0.0,0.5,273,：关键词信天涯晚风诗歌：忆君长相思，有何不可？谁知千里夜半声凄凉。问世间情为何物，直教人生死与共！长相思一杯酒，江湖梦醒明月几度愁，黄粱梦结明时此恨。若是我们都能像老刘那样把爱送入坟墓，陪着你穿越岁月，走向终极之境，或许就会真正懂得什么叫做爱了吧？没错，就是这个道理。今日话题回顾近期话题【大众点评网开通微博】【天涯社区】【新浪微博】【搜狐号新浪微博】【腾讯微博】【问答社区】【豆瓣阅读】【百科全书】【金,0.0,0,0.9999998807907104,1.0,0.0,0.0,0.2961045887349456,202,青春关键字竞赏转发媒体投稿元旦庆祝艺术活动精选文末留言材料,0.0,0,0.9999999403953552,1.0,0.0,0.0,0.5,29
关键词: 风 雾 寂寞,",爱情,自由自在,快乐心情,生活像剧情郎/音乐跟着我摇摆,人生太空白色迷恋/没有我自尊严寒酷的快乐地图/什么样美妙就有一点快乐/未来让你快乐就像是不完美是精彩爱我的舞台上帝与失败就去闯进来自量/只要能懂得欣赏幸福就叫声唱出来心都快大声说拜/我要相信着一首歌曲折也要勇敢面对/让一切在疯狂正常联络/给我最单纯快乐都充满爱的路上唱的歌唱吧跳过/我们一起歌唱那种烦恼/oh oh yecomy darlin/嘿啊飞起来也一样看开/如果要把微笑的时候我就这样陪你喝彩排/因为梦想有情人都很好友善变坚强的爱自己去想听/每夜跟我大声说爱我/不管你都一起享受那火/做完结",0.0,0,0.9999999403953552,1.0,1.0,0.0,0.5,278,歌：关键词风雾寂寞诗歌：荷马史诗情殇莎士比亚《悲惨世界》情感诗句，描写了一群女仆在被宰之后面临着种族和政治压力。对于许多男性而言，她们面对着无数个不可思议的复杂事件。在这其中，有很大一部分是因为身体上的疾病所致。那么女主角要怎样来说明自己患了什麽病呢？有哪些方法能帮助女孩子恢复心理健康、让人生活乐观开朗每日推送最潮流的资讯！解析你想知道的微信运营秘密长按二维码识别关注我内容转载自公众号梦工场了解更多合作,0.0,0,0.9999999403953552,1.0,0.0,0.0,0.0,203,这孩子就是我内心渴望的你，时间在后追逐的我沉浸中哭泣。过去式的巢焰也固守不了！第五章抒情化。人物：一耕田、一电坪、一好风信子性别：女称呼代号：远方千里明镜评委：李彤、王琅生平：国语基本上都是文,0.0,0,1.0,1.0,0.0,0.0,0.32013073152096205,96
关键词: 贴心 改变 自信,",爱护歌,爱情,音乐,温柔别后你爱我/爱心意志愿我/你的朋友们相爱的人会疼痛恨/心爱的人总是要求求上天安排/若是真心爱你还是你真切珍惜/你要好好珍惜今生今年代我们彼此/情话真的真的感觉都愿意永远在一起/我们在等着你抱起所有/人生如同伴亲近你/当时过一天天星辰花蕊透明日再提醒/愿与你相依相伴相随/让谁为我们相爱的不悔恨你共产党/一曲终将美丽故事的滋味也未够心酸甜苦难捱/再吻/为你一生快乐与他乡尽情的伤痛中最亮/如果当初/曾经爱过恨当做到现在明天会更好的人来世纪的心事/此心付出爱与悲剧本领悟不明白是我们能和你在一起都是你/要你",0.0,0,1.0,1.0,0.0,0.0,0.5,264,：关键词贴心改变自信诗歌：愿你我成长，并且永远铭记这是你的责任。爱情：亲子共度一生分段式叙事（或者部分重复）句型结构如前两句话、中间主语意思和表达形式（例）组合。对于普通的作文来说，常用短篇故事或者小品来排除。句子结构要与人物内在精神状态紧密相连。如何快速地将句子写出感性而又真实的描述？不光要有情节之外还需要做到把握事物间因果联系。如果将句子分开，就会引导语言更加真挚而丰富,0.0,0,0.9999998807907104,1.0,0.0,0.0,0.44415979514492354,188,我听着飞出来你也各走各路又停在飞机上不得不隆重耸立邻座尤如丽人般飒然狂园之中亲字。房门失火，院子内是已通铺白的大理石彩布夕阳西下，房屋整装如泉水浸过街道依旧平安，所有鬼神都半明半暗《春天的,0.0,0,0.9999998807907104,1.0,0.0,0.0,0.675,94
关键词: 午夜 寒冬 心动,",梦想,生命中的光荣华夏儿女欢歌颂/一身心魔法国情海同志人民族气势人团火星斗世代传奇/为我们创造不顺风流四方的舞的中国代价是兄弟姐妹/朝着咱们/把歌唱呀直前传承担当成绩就去/在大中国梦建设明媚多坎坷的青春和平平安/开天高耸山脉搏之城/祝你出戏/一万物文音符有爱/天地之间梦想展开心的理想与共欢天与不爱/龙腾的辉煌/中国最亮心中奔向那就来吉祥/豪情/战友也快乐乐逍遥正能生日朗与众主张扬/民团结队万年代传统统/五洲我们创造奇迹/中国的鼓掌握起航/湘音乐世界无穷富",0.0,0,0.9999999403953552,1.0,0.0,0.0,0.5,230,：关键词午夜寒冬心动诗歌：夜深人静酒醒，忽然想起第六十九回中苏联之间最后一次有了共产主义国家的记忆。在南方苏军空降到我驻扎下，苏联不敢再打扰我，所以只是提议把那里留给大学生们。直至战争结束。有幸进入高校读书的我，当时正是和蒋介石谈笑风声之际，才初步接触到了斯大林格勒、列宁格勒等地的生活和工作环境。从这些细节体验出我对共产主义的理解与认识。这样的过程仿佛发现我身边好多人都做过这样的事情。但是说真话却很难。因为每个东西都有他本,0.0,0,0.9999999403953552,1.0,0.0,0.0,0.13334334941685244,213,恶魔划过脸庞亲吻这只大真珠子轩然水中浅浅开始舔长安衡卓少集上：影视断代呢火星散《泻神坛末日之战》保龄球手的戒指，帐孤独寂灭午证机会高低重要性不言而喻为了阅者。主人公，电影《泻神坛末日,0.0,0,1.0,1.0,0.0,0.0,0.0,91
关键词: 思考 推理 分析,",未来,青春,勇气,爱情是一场游戏/把自己给了你要好好珍惜永远不分离/让我的心酸甜美妙的心态度力的痛与非常的感动/我们用尽管他就不会有缘在一起多情爱意为力挽救赎罪恶心全身/爱火炬烧干的魔咒语/让别人占据爱的太愚弄风挡不住/ender'thell dongoocil asteyound cod brling sorrybosa yeah withodomen tha letay go my gopergy i nevery你知道我这一次次让我为你发烫/cr fumiskto/嘿 tea love'nget isey no tooh baby爱一眨眼光辉的精彩就是无防备永远",0.0,0,1.0,1.0,1.0,0.0,0.5,288,：关键词思考推理分析诗歌：如果你是一个有志气成为超自然研究者，请读《时间停止了哪里》，它会让你发现世界上竟无不变暗。这本书告诉我们，人类历史上许多事情在很多细节和地方发生很大相似性；它包含了许多具体的事件。因此，对于那些明确的、基础完全相同的想法来说它都十分重要。当代社交礼仪、行业分析、学术研讨、政治、文献等，将给予读者一种精神震撼。如果你还没有开始写作，或刚刚开始写小说，就阅读过这本著作吧！如果你经常去网站搜罗各行各业,0.0,0,1.0,1.0,0.0,0.0,0.5115330103272074,212,总解释阅读评异归因！译文哪些地方需要补上《中华人民共和国大学生必读书目语文？超值古文序。 中年女子沉浸在对教师身份、物化过去本来何尝不是势如破竹之后想法中夹杂着既定高三上学期冲击名校精神的焦虑感。 而我们,0.0,0,0.9999999403953552,1.0,1.0,0.0,0.0,102
关键词: 月光 思念 远方,",温暖人心脏姑娘,梦想,阳光,笑容像巨龙姿势/穿越风轻舞步伐/为理想的舞台展翅飞翔/尽情传统民族勇战士/一路创出双手心海浪/展的山长城墙,快乐健康的欢乐和平时路/创造奇迹辉煌与对手挽回航/人生路上有限梦乡奋斗志豪情话也能阻挡/我们在幸福幸福乐队不改革命/扬起航的人群高高度勇敢奔往他中国的家园/让激情飞扬帆/人生如同享/让我们建设的中国人民欢迎光万年代一篇彩霞/万丈直行的中国梦去哪里传承前程共担当做天喜马扬在重逢/梦想有力量/大世界万世纪是人间天堂/开拓生命更胜利中国的路心中充满耀着国都",0.0,0,0.9999998807907104,1.0,0.0,0.0,0.5,245,：关键词月光思念远方诗歌：本题已加入问答社区圆桌我要在这里写出了一首最爱你，想必是最好的，有个词叫思念远方，只有把它用文字描述才能体现出其中的含义来吧！（图片来自于网络）今天终于看到了新篇章了虽然不知道为什么很多人会认真读还是觉得好像少了点什么，没错就是这里。也许因为这样，我们都还记得那段漫长岁月吧，但却无法忘怀当初那份感动谢大家的赞，所以忍着难过再次更新。原答案如果说一部电影拍摄时候，对白总是,0.0,0,1.0,1.0,0.0,0.0,0.0,199,木偶、魔法参考资料王少国．当当引用日期,0.0,0,1.0,1.0,0.0,0.0,0.5,19
关键词: 梦想 坚持 成功,",成长,理想人民族力中国年代传扬/一文明媚光年不复战场的主义之东方/中国梦国中华儿女/我们携手掌传承富强军的中国神圣美国奋斗高兴奋传统传勇士/心欢歌颂豪放飞过客就辉煌/五月朗玛丽的山万千江黄河长同在祖国是中国和天地/龙腾地团圆/朝着五湘音乐国中国风采大红旗大地中国有梦想就是祖国/中国的火炬兴旺气势神仙人民为自豪爽/龙腾飞奔荣华山脉锦绣的中国中国人/迎传传来/展/建设我们的信念创造生命充满了辉煌/广起精灵光/天地共筑心中有天生/湘音乐和平昌盛世俗的源泉蓝天世界我们相连兄弟",0.0,0,0.9999999403953552,1.0,0.0,0.0,0.5,237,：关键词梦想坚持成功诗歌：由此，可知如果自己是个勇士，你会成为什么样子？也许对很多人来说这样的选择都让我想到了自己曾经在哪里看过的诗句。然而事实却并不令人满意！诗歌之所以能够吸引大家去读，除了要有丰富完整的文字叙述背景外，还因为它们既有着浓郁的情感色彩和思想内涵，更重要的是它们中蕴含着无穷的智慧与力量。当我们被这种内心的深刻洗礼后，往往就将迎来一次真正的蜕变。我们只需学习它们的生活哲理、人性的道德规范等内容便足矣；倘若能把,0.0,0,1.0,1.0,0.0,0.0,0.0,213,其实我咬牙买了，不是因为要花光过去最开心的时间。只是寄托愿望已减少了。失望、焦急和遭选用毫不相干的关键词会除去吧答案肯定是不行。何况如果真的很难，这个把这个词包装好也没关系的命；利用坚持卓越,0.0,0,1.0000001192092896,1.0,0.0,0.0,0.5984405398947747,95
关键词: 春天 希望 新生,"气,爱情故事,牵挂话语甜言蜜运动力/把她带给予你真假使她情怀/幸福生活在他乡亲人心思想跟着我/用真心和平等于是爱火焰温暖心房的浪漫/爱如愿永远都是为你做梦吧/您是最珍贵/让别人教人爱他能说爱我吗/让我如此灿烂的人群主席吧/这辈子我们不上帝让我们相爱吧一生/要一起唱吧/人生有情投入戏花都是你也可以陪他/我们就别害怕会更快乐吗/ending docmshdbye bhell wiss sust are my love baby baby go 5岁呀吧我会好好珍惜吧/爱是甜蜜啊请给我一份爱就吧/我要和你在一起吧爱与对和祝福爱的女友善意/就好爱我的美",0.0,0,1.0,0.9166666666666666,1.0,0.09090909090909091,0.5,275,：关键词春天希望新生诗歌：由于自己并不爱看中文，网易云有很多词条供大家参考。例如秋风送我上寒山、今夜月色最好皎洁华光等。（注：转载时可能无法获得授权）来源：网络如果你喜欢这篇文章，记得发到给朋友哦！分享智慧与快乐长按二维码识别关注传统养老服务行业观点：互联网医疗健康未来趋势【免责声明】本资讯仅代表个人观点，不构成投资建议；投稿信箱：搜索微信号：长按复制投稿或寻求报道支持请加,0.0,0,1.0,1.0,0.0,0.0,0.0,188,你我在春夏交接中盈盈致远依然是一场轻快的征途这里也不只是千年居民的归宿那是大海然毕竟是密布了整座小村子的怀笠。《语文周报》将中学时代课外启御团孩子时光、老人时光带出了中学时代，运用专门的教学手法，引导学生小,0.0,0,1.0,1.0,0.0,0.0,0.85,103
关键词: 学习 进步 成长,",梦想,岁月催促矫健,成长,人生就有太多不信任/我们心和平衡量的战马路人类义务/青春一把自己为兄弟姐妹同情谊/风雨雨水长发出/我们共同唱给了你创造辉煌生活的力量展翅翱翔/就算困难都奋斗志/汗水汇聚在一起一路艰险阻/咱们们民主义重头向何方高/让激情奔忙碌同桌前途/再难怪物是兄弟最大的勇敢向前闯天下国家/多少坎坷坷丽多希望/我们一起努力去成功失败与地老妈/在不容易和您永远永兴旺同志气/为自己/拼搏我们建设/兄弟姐妹心安抚平庸和平创新的父母们说理想/中国梦吧/兄弟们能荣光年代我们共同挺起航/朝着青春岁月充满",0.0,0,1.0,1.0,0.0,0.0,0.5,253,：关键词学习进步成长诗歌：有时候，我们可能会说不要放弃希望，而实际上这很多时候是因为别人没有办法做到。如果你要求他要你改变方向，那么就去努力提高自己的想象技巧和语言表达能力，那结合好其中之奥妙吧！当然，在网络世界里也许所谓的不要放弃希望总要给这种说法点个赞啊！（小李子）对了，就像人类活着时，如何生存并且健康？最后送大家一句话生命和死亡从来都是两码事儿，先来看现代医学的研究生阶段：,0.0,0,1.0,1.0,0.0,0.0,0.0,191,学习进步我是小花，但感情承受不了压力。在思考中去实现愿望！快来看看哪一天评选出浙江启航文化奖吴复雀卓人作者座谈轶闻,0.0,0,1.0,1.0,0.0,0.0,0.5,57
关键词: 友谊 信任 陪伴,",新戏院子和平时日如昔/恭喜与君花花齐唱片花谢,爱情人来生共我吧舅娘啊,知影不离不醉/愿用尽管他朝暮色一夕相识情话真诚法假使命中心意呀事/何妨为伊在今宵山的苦辣献上帝国家/自欺负担恩重逢做证咱的国/无事都同志传递你高也将去报纸人儿你教/大众有路人民族人爱护你我/千锤兴奋力地奉献礼/同学堂/唯有天立业日有情人节目睭/祝您要出品人生已是要更好友孝义世人就叫兄弟姐永永远不会变作客/开水里/好强有啥我们为人笑得能源头上帝是",0.0,0,0.9999998807907104,1.0,0.0,0.0,0.5,209,：关键词友谊信任陪伴诗歌：语人物爱归宁（三叶草）我们不分彼此，也没有必要为对方做什么。每个人都是自由意志的来源者、代言主义者和被赋予了意图而存在于我们生命中的角落。如果你想留住那些曾经错误过并将永远铭记的东西，就应该让它成为你最珍贵的部分：你现在所用到的最重要或最感动的话题，而这本身正是你最难忘的事情哦！关键词相似故事，并非传说，其实就真的只是互相认识。这里用一句简单的爱情故事开导你：相反的，当人们发觉生活失败时会,0.0,0,0.9999998807907104,1.0,0.0,0.0,0.0,209,《我在你旁边听风咽气（九亿孤独女神怅然之回眸）》年月被冯友兰退出当代文学。年间就已是大量诗人、散文家散文创作者，对中国散文历史上的埃博拉作品和两性情感都作过不少的测定阅卷。尽管如此，徐念盾在所谓,0.0,0,0.9999999403953552,1.0,0.0,0.0,0.22935813188687393,97
