prompt,your_model_output,deepseek_output,your_model_bleu,deepseek_bleu,your_model_rouge_l,deepseek_rouge_l,your_model_bertscore,deepseek_bertscore,your_model_distinct_1,deepseek_distinct_1,your_model_distinct_2,deepseek_distinct_2,your_model_repetition_rate,deepseek_repetition_rate,your_model_coherence,deepseek_coherence,your_model_length,deepseek_length
关键词: 信 天涯 晚风,",创作一首诗句 ⁇  关键词: 爱意见,回忆,幸福 诗词: 为何要我俩两人/一身心会知情路边无比不容易/可惜总觉得一切可预备/不想再问谁说什么/爱到最后还是爱就已经错过/如何去爱你/却只能默默的伤心难过/怎么看开放松心情也不要离开我/难道你只是一个人过/只怕你真的有太多/为什么你让我明白了/你却不愿把眼泪留给过的人/你的离开了你又何必呢/爱到最后只剩无奈的折磨/怎么也不用泪水换掉落/爱过以后才能解脱/分手也在风中颤抖/分手的夜里寂寞/难道你不曾爱我/我宁愿这样生活/你依然是我的错/爱过我像现在的我 <END>","一封泛黄的信笺
载着天涯的思念
在晚风中轻轻摇曳

邮筒静默伫立
守候着远方的回音
晚风拂过信纸
捎来彼岸的花香

字迹在暮色中晕开
化作天边的流云
天涯不再遥远
当信使是温柔的晚风

待到星子点亮夜空
这封信就会抵达
那个被晚风拥抱的
天涯",0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,257,121
关键词: 风 雾 寂寞,",梦 诗词: 雾在风中/谁在倾听不到你的脚步/心已变得模糊糊涂/你的心像我一样无助/你眼中在颤抖/那片天空中残酷/我们总是有种不同的雾徒劳/当爱情只是一种方式/我的心事让我知道孤独/你说过是最后还是被/如果你心中最痛的心/难道这样就不能做些什么/说好的以后还是我/为什么要我怎么来呢才懂/所以我们就这样走到这里/可是到最后又怎么结束了/是否还能再回头会记得/如果明天的/就算只有自己会不会感动/因为我还不懂 <END>","风起时雾正浓
寂寞在枝头颤动
薄纱般的帷幕后
藏着谁的叹息声

雾散时风已停
寂寞在窗棂结冰
远山淡去的轮廓
勾勒出往事剪影

风与雾的缠绵
织就寂寞的衣衫
披在流浪的云上
飘向无言的彼岸",0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,209,94
关键词: 贴心 改变 自信,",创作一首诗句 ⁇  关键词: 关键词爱意,恋爱比赛/有志愿伴侣相爱多次好奇蹟可怕恋爱/要分秒每日再高飞我跟你一起转圈套/今天去追问自己/谁要不要管它只不过也算一个好过/你早知得不到我的缺少/没有错觉不理还不想失去什么/为何要做人对待你最重要/难道会怎么样过几遍/一分钟都不许许多/一吻便已失了/别说给我一心口/就算我等着爱下去这算不算太累/但你要珍惜所有对象很美/才不分配我亦想的都似火/如若问我怎忍得到结果却不爱我/其实我心中某些吻一次一个/我明白你真的爱过过/假如没看过以后/谁也会有罪孽/但我心里面对我","《蝶变》

贴心如春蚕吐丝
将旧我层层包裹
在暗夜里酝酿改变

破茧时
翅膀上闪烁着
自信的光芒",0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,255,48
关键词: 午夜 寒冬 心动,",冬天 诗词: 午夜的秋凉的街/冬天又下午 <END>","《子夜书》
寒枝托起半轮月
霜风卷过旧琴台
未寄的信笺在抽屉里泛潮
像某个不敢说出的姓氏

钟声在血管内里结冰
十二下，一下比一下
缓慢。而炉火忽然摇曳
爆出松脂的清香

这时你推门而入
带着满身星光与寒意
说梅花落了三日
说南山的雪快要封路

我们煮茶，听炭火低语
任夜色在指缝间凝固成
琥珀。当寒鸦惊起时
发现彼此都还保持着
二十二岁那年的坐姿",0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,27,174
关键词: 思考 推理 分析,",创作一首诗句 ⁇  小城堡,快乐乐园,公主角/寻找幸福的烦恼 <END>","思绪如丝织成网
推理的舟在星河游荡
分析是那盏不灭的灯
照亮真理沉睡的地方

月光下铺开逻辑的画卷
每一笔都是智慧的闪光
在假设与求证之间
开出理性的芬芳

当思考的羽翼掠过云端
万物都显现清晰的形状
在因果交织的密林里
我拾起真理的星光",0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,37,119
关键词: 月光 思念 远方,",思念 诗词: 爱故乡/月亮挂在天上思念的背影/我唱到你身旁 <END>","月光如水洒窗前，
思念如丝绕心田。
远方的人可曾见，
这轮明月共长天。",0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.975,36,35
关键词: 梦想 坚持 成功,",幸福生活/我本事就是有未来梦/有时难耐心想的开车站台/但却是命运安排/是在期待很久没有终点/只是一见一个字路口/人总是会像那段段来/有太多精彩就是你存在而改/但是现实还是时代就是失败/不是为梦想勇敢离开我等待/我想你现在还是我自己去了又何用爱/只要有你我就可以做我的主宰 <END>","《逐梦行》
梦想如星悬夜空
坚持似水润青松
千般磨砺终不悔
一朝花开见成功

岁月长河映彩虹
心灯不灭照前程
待到云开雾散时
笑看天地自从容",0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,142,70
关键词: 春天 希望 新生,",创作一首诗句 ⁇  关键词: 青春,情儿,梦想 诗词: 能把秋天 <END>","春风拂过枯枝头，
嫩芽破土望晴空。
冰雪消融溪水唱，
万物复苏展新容。

燕子衔泥筑新巢，
桃李含苞待放时。
希望如种深埋处，
静待花开满园诗。

寒冬已逝无踪迹，
暖阳普照新生机。
人生若逢春日里，
何惧前路风雨急。",0.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.9656407864531862,39,109
关键词: 学习 进步 成长,",孤独,老地方 诗词: 课桌边的小屋子/不知道你们的位置好在哪里/要用什么歌曲不容易/怎么可以忘了忘了去哪里/你离开这里那份美丽/我们会在一起的旅行的过去/可是你的名字都没有距离/我开始了那里有多么熟悉的人们很关心/我永远不会忘记/我们说好一起到天明年前景/我会记得我的小妹妹/我们不是因为有你和勇气/也许是爱没关系/可我还是爱你/我会一直在人海里/但如今却是那样地哭泣 <END>","《求知者》

晨光穿透书页的薄纱
在字句的阶梯上攀爬
每一道公式都是种子
在思维的土壤里发芽

时光在笔尖静静游走
错误如落叶铺满深秋
而真理是倔强的根须
在失败中延伸得更久

当知识汇成星河璀璨
愚昧的迷雾渐渐飘散
我看见年轻的自己
正站在未来的对岸",0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,191,126
关键词: 友谊 信任 陪伴,",新朋友,爱情 诗词: 在每个角落/这时候你送给我的礼物我走/你陪我渡过程的旅途走路途/因为有你们陪着我孤独的人/我会为你做一个爱最幸福的生活/因为你是幸福就走/就算再多坎坷也会有风雨再多坎坷的路/再没有什么人阻挡这份艰苦不回头/只要能陪你走到终点的时候陪你闯入爱的征途 <END>","《友谊的星光》

当信任的种子
在时光的土壤里发芽
友谊便长成了树
枝叶相触在云里

我们曾在夜色中行走
你的脚步声
和着我的脚步声
像两盏互相照亮的灯

陪伴是最长的告白
不说永远
只把每一个今天
过成不会褪色的画卷

当岁月在指间流淌
友谊是河床上
那些被时间打磨得
愈发温润的星光",0.0,0.0,0.0,0,0.9999999403953552,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,141,143
